F1,,,,,,,,,,,
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4,,,,,,,
0.9850923561,0.9620921305,0.9391149391,0.9091642187,0.8948860415,,,,,,,
0.9869639592,0.9636233951,0.9287030638,0.9148514851,0.9110282986,,,,,,,
0.9854171647,0.9652748318,0.9606547439,0.9513513514,0.9453929047,,,,,,,
0.9857297038,0.9419265098,0.9252995067,0.9172454385,0.9112439911,,,,,,,
0.9852759218,0.9733530718,0.9564514122,0.9318640955,0.9315085537,,,,,,,
0.9839331239,0.9628525431,0.9321009598,0.9029962117,0.8874097473,,,,,,,
0.9833333333,0.9616828556,0.931816863,0.9168646081,0.9132667782,,,,,,,
0.9819576815,0.9652556888,0.957952468,0.9535941765,0.9469491219,,,,,,,
0.986281675,0.9491980169,0.9313219066,0.9222932954,0.9158966512,,,,,,,
0.9825667656,0.9687945902,0.9508686718,0.9238396232,0.9226960451,,,,,,,
0.984987836,0.9631799163,0.9331525584,0.9060492041,0.8997470683,,,,,,,
0.986611619,0.9643451391,0.9390630504,0.9278098235,0.924309264,,,,,,,
0.9853705141,0.9657275277,0.958676677,0.955062329,0.9497111584,,,,,,,
0.9837145252,0.9307215074,0.9021022375,0.8727847756,0.8382299031,,,,,,,
0.9826639521,0.9717779287,0.9572047001,0.9309915296,0.9295318725,,,,,,,
0.9853646975,0.9625260649,0.9319636043,0.9032925358,0.8960328317,,,,,,,
0.9885138717,0.9649819281,0.9424401635,0.926427378,0.925602392,,,,,,,
0.9831443825,0.9619840695,0.9566845889,0.9523289002,0.9463520608,,,,,,,
0.9867625037,0.9508120107,0.9366909861,0.9263369142,0.9189822957,,,,,,,
0.9833044769,0.9745147889,0.9607273177,0.9340970682,0.9312815401,,,,,,,
0.9845587362,0.960909145,0.9302994012,0.9030624264,0.8951376684,,,,,,,
0.9850975754,0.9589897917,0.9293930278,0.9206014862,0.9162590263,,,,,,,
0.983963619,0.960892485,0.9541273226,0.9493048388,0.9447163313,,,,,,,
0.9878983944,0.9383101852,0.925071877,0.9116257365,0.9044177643,,,,,,,
0.9830110583,0.9629583899,0.9535844172,0.9348466796,0.9339096661,,,0.9848607779,0.9602673805,0.9410186586,0.9239474452,0.9173799591
Threshold,,,,,,,,,,,
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4,,,,,,,
0.0004805974,0.9968587867,0.9999309078,0.9999536851,0.9999536851,,,,,,,
7.41052545741996E-05,0.985514276,0.9950331983,0.9999295122,0.9999536851,,,,,,,
4.53978687024344E-05,0.9908062946,0.9968587867,0.9970411755,0.9996578777,,,,,,,
5.89241677384343E-05,0.0392281643,0.9993112891,0.9999205259,0.9999532173,,,,,,,
0.0005002011,0.0704367309,0.9965295689,0.9992902942,0.9999121683,,,,,,,
4.8691859459013E-05,0.9670736052,0.9999536851,0.9999536851,0.9999536851,,,,,,,
0.0001246408,0.9887935937,0.9973219908,0.9998636297,0.9998636297,,,,,,,
7.71293141001455E-05,0.9957569308,0.9978497101,0.9978497101,0.9986946788,,,,,,,
0.0003407685,0.10621873,0.9960101349,0.9998462456,0.9998580651,,,,,,,
4.53978687024344E-05,0.0772842586,0.9891206637,0.9997198766,0.9997198766,,,,,,,
0.0004805974,0.9876295853,0.9997414079,0.9999536851,0.9999536851,,,,,,,
0.0001297268,0.9956792665,0.9998580651,0.9999451004,0.9999456494,,,,,,,
5.06789112236091E-05,0.9972130038,0.9994360608,0.9994360608,0.9997142193,,,,,,,
5.15545800261358E-05,0.9926084587,0.9999498278,0.9999498278,0.9999527495,,,,,,,
5.77228319942422E-05,0.0188918536,0.8234647252,0.9998159281,0.9998399717,,,,,,,
0.0001859308,0.9916739069,0.9998084174,0.9999536851,0.9999536851,,,,,,,
4.58563963558513E-05,0.9734030064,0.9972680392,0.99864148,0.9999085841,,,,,,,
5.22196226443511E-05,0.9630307907,0.9930345469,0.999032667,0.999032667,,,,,,,
9.70681670795996E-05,0.1493841996,0.9989310405,0.9999295122,0.9999422887,,,,,,,
4.53978687024344E-05,0.0406990536,0.6106366034,0.9986683447,0.9998608752,,,,,,,
4.63149240092682E-05,0.6592603885,0.9997170479,0.9999336168,0.9999536851,,,,,,,
0.0006486295,0.9734030064,0.9999445515,0.9999536851,0.9999536851,,,,,,,
0.000091489,0.9966651927,0.9975762194,0.9983575954,0.9983575954,,,,,,,
0.0001896861,0.4950001667,0.9994581612,0.9998300778,0.9999374824,,,,,,,
7.6419186777525E-05,0.3566381437,0.8676111265,0.9997254218,0.9997254218,,,,,,,
