F1,,,,
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4
0.9851803743,0.9647156496,0.9379713534,0.9097036607,0.898823258
0.9882504994,0.9655498994,0.921460558,0.90266584,0.884696255
0.9859757547,0.96636489,0.9582250166,0.9243459816,0.9200807505
0.9887546357,0.943727951,0.9349734281,0.9291394659,0.9145699239
0.9875161429,0.9682121639,0.9521057485,0.9396105497,0.9378767376
0.9852958475,0.9654600391,0.9430760165,0.9236415295,0.9123756841
0.9884748143,0.9664310954,0.9369799244,0.9209793456,0.915086182
0.9829514865,0.9670145136,0.9598017288,0.9530290257,0.9494840413
0.9875568318,0.938703823,0.923121254,0.9170882686,0.9096705632
0.9850433926,0.9702138178,0.9533394328,0.9298481881,0.9262500765
0.987804878,0.966239266,0.9357476636,0.9151903949,0.9094037378
0.9894092728,0.9733482379,0.9466287241,0.9344243268,0.9301646619
0.9838728945,0.9700888271,0.9624404654,0.9535961481,0.9481081081
0.9909232055,0.9479074695,0.9387081565,0.9324906975,0.9283312688
0.9851664923,0.969905417,0.9506925208,0.9302325581,0.9257404316
0.9874556213,0.9619430327,0.9282773816,0.9125857582,0.9055755927
0.990343853,0.9696433834,0.9354616445,0.9242831798,0.9184262144
0.9871496025,0.9658653846,0.962568126,0.9560518732,0.9517092995
0.9886873765,0.9457989826,0.9348926514,0.9279896116,0.9228692181
0.9838610324,0.9729128015,0.9564734895,0.9359793561,0.9348306333
0.9852958475,0.9577398191,0.9266332829,0.8991327629,0.8905286217
0.9878319878,0.9597414046,0.9303028542,0.9124338163,0.9000230627
0.9859757547,0.965235665,0.9594933684,0.9481075934,0.9389312977
0.9888569375,0.9351233003,0.9250457038,0.9161200441,0.9074127823
0.9871323529,0.9606116208,0.9387273179,0.9256873916,0.9215492784
0.9869906756,0.9615399382,0.9421259125,0.9269742947,0.9201007072
Opennessid 0,Opennessid 1,Opennessid 2,Opennessid 3,Opennessid 4
0.3265127646,0.8636567728,0.9476483481,0.9829765301,0.9865601484
0.3049153966,0.8707941246,0.9546095206,0.9596507211,0.9882953807
3.69426152992689E-05,0.7710057462,0.8720265055,0.915134236,0.9434810104
0.4655546817,0.9114928169,0.9988339883,0.9988421131,0.99898208
0.3672595461,0.8289164183,0.9745682982,0.9918616769,0.9918616769
6.73117696275938E-05,0.8564354631,0.9539990225,0.9848277629,0.9883875835
0.0249321155,0.8830874969,0.9703443976,0.9873952852,0.9873952852
0.4960001213,0.9721316608,0.9965049837,0.9977777259,0.9977777259
0.4775155342,0.994753781,0.9957433179,0.9998858631,0.9998858631
0.3612369529,0.7378840552,0.7991515086,0.9436407951,0.9509676401
0.4707833868,0.9506401471,0.9984685352,0.9998676595,0.9999415333
0.511247627,0.9734795749,0.9961812269,0.998984132,0.9996100054
0.4385621747,0.9680141535,0.9819426952,0.9912333744,0.9931728676
0.5237316746,0.9968241388,0.9993369309,0.9997176266,0.9997957579
0.3865115833,0.6946592332,0.9279086732,0.9816207489,0.9841092541
0.4955002835,0.9643600714,0.9934257061,0.999226646,0.9993854466
0.5302129583,0.9927537604,0.9986892869,0.9995208413,0.9998465524
0.490501181,0.9609094022,0.9609094022,0.9823982435,0.9823982435
0.5921836625,0.9871692341,0.9955171152,0.999643207,0.9996439204
0.4272697367,0.9244198618,0.9877753157,0.997762147,0.997762147
9.11019280282123E-06,0.7834693782,0.9058513241,0.9706877692,0.9706877692
2.02748783777146E-05,0.7318442991,0.8810069053,0.9458332995,0.9538671684
6.73117696275938E-05,0.8700046222,0.8755552724,0.9168273035,0.9711396052
0.637377049,0.986964888,0.9914139688,0.9995912508,0.9998120216
8.22135439217216E-05,0.745925422,0.9542612985,0.9677669818,0.9685682372
